"entrez.id;""gene.symbols"";""type.of.regulators"""
"6299;""SALL1"";""TF"""
"6304;""SATB1"";""TF"""
"6322;""SCML1"";""TF"""
"6473;""SHOX"";""TF"""
"6474;""SHOX2"";""TF"""
"6492;""SIM1"";""TF"""
"6493;""SIM2"";""TF"""
"6495;""SIX1"";""TF"""
"6618;""SNAPC2"";""TF"""
"6621;""SNAPC4"";""TF"""
"6650;""CAPN15"";""TF"""
"6656;""SOX1"";""TF"""
"6657;""SOX2"";""TF"""
"6659;""SOX4"";""TF"""
"6660;""SOX5"";""TF"""
"6662;""SOX9"";""TF"""
"6665;""SOX15"";""TF"""
"6667;""SP1"";""TF"""
"6671;""SP4"";""TF"""
"6688;""SPI1"";""TF"""
"6689;""SPIB"";""TF"""
"6720;""SREBF1"";""TF"""
"6721;""SREBF2"";""TF"""
"6722;""SRF"";""TF"""
"6772;""STAT1"";""TF"""
"6773;""STAT2"";""TF"""
"6774;""STAT3"";""TF"""
"6775;""STAT4"";""TF"""
"6776;""STAT5A"";""TF"""
"6777;""STAT5B"";""TF"""
"6778;""STAT6"";""TF"""
"6827;""SUPT4H1"";""TF"""
"6830;""SUPT6H"";""TF"""
"6862;""T"";""TF"""
"6871;""TADA2A"";""TF"""
"6874;""TAF4"";""TF"""
"6875;""TAF4B"";""TF"""
"6877;""TAF5"";""TF"""
"6878;""TAF6"";""TF"""
"6879;""TAF7"";""TF"""
"6881;""TAF10"";""TF"""
"6883;""TAF12"";""TF"""
"6884;""TAF13"";""TF"""
"6886;""TAL1"";""TF"""
"6899;""TBX1"";""TF"""
"6909;""TBX2"";""TF"""
"6910;""TBX5"";""TF"""
"6911;""TBX6"";""TF"""
"6913;""TBX15"";""TF"""
"6925;""TCF4"";""TF"""
"6926;""TBX3"";""TF"""
"6927;""HNF1A"";""TF"""
"6928;""HNF1B"";""TF"""
"6929;""TCF3"";""TF"""
"6932;""TCF7"";""TF"""
"6934;""TCF7L2"";""TF"""
"6935;""ZEB1"";""TF"""
"6936;""GCFC2"";""TF"""
"6938;""TCF12"";""TF"""
"6939;""TCF15"";""TF"""
"6940;""ZNF354A"";""TF"""
"6941;""TCF19"";""TF"""
"6942;""TCF20"";""TF"""
"6945;""MLX"";""TF"""
"7003;""TEAD1"";""TF"""
"7004;""TEAD4"";""TF"""
"7005;""TEAD3"";""TF"""
"7008;""TEF"";""TF"""
"7019;""TFAM"";""TF"""
"7020;""TFAP2A"";""TF"""
"7021;""TFAP2B"";""TF"""
"7022;""TFAP2C"";""TF"""
"7024;""TFCP2"";""TF"""
"7025;""NR2F1"";""TF"""
"7026;""NR2F2"";""TF"""
"7027;""TFDP1"";""TF"""
"7029;""TFDP2"";""TF"""
"7030;""TFE3"";""TF"""
"7050;""TGIF1"";""TF"""
"7067;""THRA"";""TF"""
"7068;""THRB"";""TF"""
"7071;""KLF10"";""TF"""
"7080;""NKX2-1"";""TF"""
"7157;""TP53"";""TF"""
"7161;""TP73"";""TF"""
"7181;""NR2C1"";""TF"""
"7182;""NR2C2"";""TF"""
"7227;""TRPS1"";""TF"""
"7290;""HIRA"";""TF"""
